Member      Type        Text                                              
AMQ0ECH4    CBLLE       ILE/COBOL SAMPLE REPLY TO QUEUE ECHO              
AMQ0GBR4    CBLLE       ILE/COBOL BROWSE QUEUE USING (MQGET)              
AMQ0GET4    CBLLE       ILE/COBOL SAMPLE GET MESSAGE USING (MQGET)        
AMQ0INQ4    CBLLE       ILE/COBOL SAMPLE USING (MQINQ)                    
AMQ0PTL4    CBLLE       ILE/COBOL SAMPLE USING DISTRIBUTION LISTS         
AMQ0PUB4    CBLLE       ILE/COBOL SAMPLE PUT TO TOPIC (MQPUT)             
AMQ0PUT4    CBLLE       ILE/COBOL SAMPLE PUT TO QUEUE (MQPUT)             
AMQ0REQ4    CBLLE       ILE/COBOL SAMPLE USING REPLY QUEUE                
AMQ0SET4    CBLLE       ILE/COBOL SAMPLE USING (MQSET)                    
AMQ0SUB4    CBLLE       ILE/COBOL SAMPLE SUBSCRIBE TO TOPIC (MQSUB)       
